File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
81c1c24c-3e3f-4915-8853-46e8a7c82ba1	071a05c1-f9df-4e68-b73e-8f6716d75d52.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-5L-AAT1	TCGA-5L-AAT1-01A	Tumor	Primary	Unknown	Unknown
c53cc045-bced-4c5f-97e7-b17ab835ef23	d8c6fdeb-4aba-4a11-b62e-d587dadbcc62.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AR-A2LR	TCGA-AR-A2LR-01A	Tumor	Primary	Solid Tissue	OCT
6182d009-5001-4987-b5b0-c9def8d788b5	ffc8fa8f-f6f7-4b8a-9773-b29dc0a60410.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-B6-A1KC	TCGA-B6-A1KC-01B	Tumor	Primary	Unknown	OCT
8e48755a-490f-45b4-b1bf-0fbf09485177	27fe0b6c-1b76-400b-a0ef-9405f833c482.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AQ-A0Y5	TCGA-AQ-A0Y5-01A	Tumor	Primary	Solid Tissue	Unknown
b04f614a-9de5-4f89-84fc-85509bf524c7	a3faa9fb-cbea-4ae5-8bf4-ca9b9f04a55f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AO-A1KQ	TCGA-AO-A1KQ-01A	Tumor	Primary	Unknown	OCT
2cd4820b-b104-4bcd-801c-d19cb0b749ba	fa1b44dd-3960-4ce1-be3c-2e2e0e7ece66.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-D8-A1XU	TCGA-D8-A1XU-01A	Tumor	Primary	Solid Tissue	Unknown
8c295f70-b9a1-4ddc-a77d-115fe53b3c56	88c8a133-1c35-4e23-88d3-042cbca01208.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A1-A0SN	TCGA-A1-A0SN-01A	Tumor	Primary	Solid Tissue	OCT
3e507d72-240f-4b9b-9792-8e0da8c63a55	bbf9988a-7181-4388-b39d-c4327051fed9.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A0W5	TCGA-BH-A0W5-01A	Tumor	Primary	Solid Tissue	OCT
ece8e79d-07bc-4435-af2b-5d12577554a6	20171ef3-0986-476f-96f8-9d6051835771.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AO-A124	TCGA-AO-A124-01A	Tumor	Primary	Solid Tissue	OCT
e14e9d13-002a-4a69-931c-b20d5d3b0988	4f6114a2-0125-4bf5-8d62-d890fa751ee9.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A7-A6VV	TCGA-A7-A6VV-01A	Tumor	Primary	Solid Tissue	Unknown
