File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
a96adf45-1076-4469-97a5-e14d9a796cb9	TCGA-E2-A14P-01A-21-A13E-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-E2-A14P	TCGA-E2-A14P-01A	Tumor	Primary	Solid Tissue	Unknown
c9dd7733-fb5f-4ecf-bffe-ef3cc5944f4e	TCGA-AN-A04A-01A-11-A13A-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-AN-A04A	TCGA-AN-A04A-01A	Tumor	Primary	Solid Tissue	OCT
5b9b4ef7-734c-4430-bc47-69627a13cc8c	TCGA-AO-A0J5-01A-21-A13A-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-AO-A0J5	TCGA-AO-A0J5-01A	Tumor	Primary	Solid Tissue	OCT
3e24a235-3a1f-41a1-9ec1-66db51037bcd	TCGA-AR-A2LR-01A-21-A24A-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-AR-A2LR	TCGA-AR-A2LR-01A	Tumor	Primary	Solid Tissue	OCT
8ca85aef-175b-47d5-90a4-ee6efb58182c	TCGA-C8-A1HI-01A-21-A17J-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-C8-A1HI	TCGA-C8-A1HI-01A	Tumor	Primary	Solid Tissue	OCT
8440e4ca-78db-4ead-a3c1-ac29fb0b3c09	TCGA-A2-A0YM-01A-21-A13D-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-A2-A0YM	TCGA-A2-A0YM-01A	Tumor	Primary	Solid Tissue	OCT
0ae3a883-8e93-43fe-b877-0ef43baa4afc	TCGA-AO-A1KQ-01A-21-A17I-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-AO-A1KQ	TCGA-AO-A1KQ-01A	Tumor	Primary	Unknown	OCT
0697d08d-5ef1-4312-84ca-090edd435101	TCGA-D8-A1JP-01A-21-A17J-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-D8-A1JP	TCGA-D8-A1JP-01A	Tumor	Primary	Unknown	Unknown
89103134-12c8-46f0-8d46-e91ef5d3c755	TCGA-AO-A03O-01A-31-A13A-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-AO-A03O	TCGA-AO-A03O-01A	Tumor	Primary	Unknown	OCT
ef9151cf-1455-4d4e-923c-a93adf257fa4	TCGA-AQ-A7U7-01A-11-A43F-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-AQ-A7U7	TCGA-AQ-A7U7-01A	Tumor	Primary	Solid Tissue	Unknown
dd47b711-b034-45e9-bf66-605bcc127d04	TCGA-AC-A2FG-01A-21-A24A-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-AC-A2FG	TCGA-AC-A2FG-01A	Tumor	Primary	Solid Tissue	Unknown
d3183f81-6818-4afb-baa5-10ed9575e26a	TCGA-E9-A6HE-01A-21-A321-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-E9-A6HE	TCGA-E9-A6HE-01A	Tumor	Primary	Solid Tissue	OCT
ae40a283-bc0c-43fe-b4f5-e5cd64b587aa	TCGA-D8-A1JG-01B-21-A17J-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-D8-A1JG	TCGA-D8-A1JG-01B	Tumor	Primary	Unknown	Unknown
20707643-36cf-4d6c-81ad-cbc7007d900e	TCGA-B6-A0RM-01A-21-A13C-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-B6-A0RM	TCGA-B6-A0RM-01A	Tumor	Primary	Unknown	OCT
2b3cd146-5b5d-4859-9769-7495e176820d	TCGA-E9-A22A-01A-21-A17K-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-E9-A22A	TCGA-E9-A22A-01A	Tumor	Primary	Unknown	OCT
84bed871-2731-4d75-ba06-9a614a2e726e	TCGA-BH-A1FE-06A-21-A24B-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-BH-A1FE	TCGA-BH-A1FE-06A	Tumor	Metastatic	Unknown	OCT
f6ee70ff-9a0b-4289-ad22-182e109e1e6c	TCGA-BH-A1FE-11B-21-A43P-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-BH-A1FE	TCGA-BH-A1FE-11B	Normal	Not Applicable	Solid Tissue	OCT
8139c027-b504-4e4e-b967-8225497a33a1	TCGA-AN-A0FL-01A-21-A13A-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-AN-A0FL	TCGA-AN-A0FL-01A	Tumor	Primary	Solid Tissue	Unknown
fe0d1be1-0796-4541-97de-dcad7818abff	TCGA-C8-A12Y-01A-21-A13D-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-C8-A12Y	TCGA-C8-A12Y-01A	Tumor	Primary	Solid Tissue	OCT
54c72d5c-b575-4c60-901d-62e00943331f	TCGA-A7-A26F-01A-11-A17I-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-A7-A26F	TCGA-A7-A26F-01A	Tumor	Primary	Solid Tissue	Unknown
35a18d88-9570-4f91-9fbe-e37e78178bb9	TCGA-A2-A0EO-01A-21-A13B-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-BRCA	TCGA-A2-A0EO	TCGA-A2-A0EO-01A	Tumor	Primary	Solid Tissue	OCT
